City,Surface_area,Potential_installable_area,Peak_installable_capacity,Energy_potential_per_year,Assumed_building_type,Estimated_tilt,Estimated_building_height,Estimated_capacity_factor
Beirut,25.64,6.45,1.25,1456.43,2,18.23,10.41,1163.2
Beirut,112.18,10.07,1.95,2350.84,2,13.64,22.44,1203.78
Beirut,97.98,13.11,2.54,3214.01,0,18.23,12.13,1264.0
Beirut,402.24,69.99,13.58,17267.62,0,18.89,16.12,1271.76
Beirut,82.08,8.43,1.64,1983.83,2,15.02,17.99,1213.25
Beirut,165.04,54.9,10.66,11943.06,2,16.87,42.59,1120.27
Beirut,77.48,10.14,1.97,2291.92,0,19.75,26.61,1165.0
Beirut,106.6,14.08,2.73,3131.98,2,10.03,49.28,1147.69
Beirut,200.98,73.17,14.19,17162.0,2,18.67,18.16,1209.02
Beirut,116.79,3.03,0.59,729.07,2,19.43,16.32,1239.0
Beirut,418.1,103.12,20.0,24358.85,2,12.74,28.1,1217.66
Beirut,293.38,96.05,18.63,23764.91,2,17.28,26.5,1275.4
Beirut,117.26,48.88,9.48,11046.29,2,10.69,25.35,1165.0
Beirut,94.9,37.4,7.26,8995.6,2,13.43,18.86,1239.74
Beirut,76.88,22.95,4.45,5799.91,3,6.02,10.05,1304.0
Beirut,16.67,6.59,1.28,1537.71,2,27.6,23.03,1203.0
Beirut,64.73,9.36,1.82,2051.63,2,16.33,24.83,1129.37
Beirut,123.21,8.6,1.67,2053.1,2,17.1,22.49,1229.52
Beirut,60.83,12.76,2.47,3003.81,2,19.25,28.34,1213.77
Beirut,87.15,16.72,3.24,4093.37,2,18.32,8.08,1261.95
Beirut,1654.32,1171.93,227.35,299198.88,1,3.43,4.68,1316.0
Beirut,31.47,6.87,1.33,1754.97,1,16.14,1.52,1316.0
Beirut,62.43,26.1,5.06,6663.55,1,7.32,3.22,1316.0
Beirut,27.76,8.06,1.56,2058.9,1,5.55,3.48,1316.0
Beirut,21.75,9.67,1.88,2468.55,1,7.78,0.11,1316.0
Beirut,121.36,22.04,4.28,5103.06,2,10.13,8.7,1193.31
Beirut,23.24,5.33,1.03,1347.89,2,3.07,6.8,1304.0
Beirut,31.59,5.12,0.99,1279.66,2,18.09,3.17,1289.0
Beirut,75.57,14.99,2.91,3523.16,2,13.47,6.47,1211.25
Beirut,66.75,25.71,4.99,6503.72,2,5.93,4.17,1304.0
Beirut,130.31,11.49,2.23,2762.03,2,18.19,33.77,1239.0
Beirut,72.51,32.3,6.27,8170.21,2,7.3,0.49,1304.0
Beirut,50.92,15.07,2.92,3581.98,2,15.55,11.67,1225.24
Beirut,80.46,13.24,2.57,3254.09,2,16.06,3.6,1267.0
Beirut,30.86,10.38,2.01,2495.9,2,18.69,0.72,1239.0
Beirut,23.19,0.0,0.0,0.0,2,19.05,12.65,
Beirut,178.49,53.92,10.46,11874.74,2,16.24,13.54,1135.19
Beirut,149.07,45.02,8.74,10507.68,2,17.93,7.56,1201.83
Beirut,57.82,4.24,0.82,911.42,2,11.22,10.42,1106.97
Beirut,107.08,33.27,6.45,8416.93,2,9.4,11.03,1304.0
Beirut,71.72,15.28,2.96,3724.37,2,17.92,1.78,1257.63
Beirut,78.14,20.33,3.94,4691.57,2,10.42,3.36,1189.75
Beirut,76.05,33.44,6.48,8529.55,1,12.36,8.84,1316.0
Beirut,125.08,61.22,11.88,14168.56,2,16.01,3.47,1192.96
Beirut,86.47,6.74,1.31,1531.87,2,15.15,21.3,1170.89
Beirut,147.71,63.64,12.33,14703.29,2,17.5,21.66,1192.1
Beirut,199.97,71.98,13.96,17755.81,2,11.02,23.73,1271.6
Beirut,514.16,139.92,27.14,33615.85,0,19.66,19.79,1238.41
Beirut,97.41,23.41,4.55,5612.07,2,15.37,21.19,1234.37
Beirut,458.94,141.61,27.47,34038.18,0,11.75,19.78,1238.95
Beirut,281.51,59.43,11.53,14286.03,3,16.99,13.74,1239.0
Beirut,187.59,88.59,17.19,21043.99,2,15.84,33.94,1224.43
Beirut,599.36,154.59,29.99,33801.82,3,15.83,10.44,1127.08
Beirut,387.2,194.4,37.71,42414.24,2,18.6,9.62,1124.66
Beirut,629.65,104.34,20.26,23989.3,2,17.92,34.03,1183.91
Beirut,629.13,198.61,38.49,48790.84,0,16.4,31.0,1267.53
Beirut,304.62,123.61,23.98,27647.97,0,19.67,47.39,1152.97
Beirut,441.21,118.37,22.99,27869.73,0,17.11,30.18,1212.46
Beirut,138.26,21.95,4.26,5054.4,2,17.72,13.58,1187.2
Beirut,516.97,173.24,33.61,40379.68,2,16.64,17.41,1201.44
Beirut,33.98,3.9,0.76,964.0,2,19.33,43.35,1273.25
Beirut,102.6,32.99,6.41,7664.76,0,19.29,26.93,1196.49
Beirut,530.25,126.22,24.49,30340.18,3,17.49,15.55,1239.0
Beirut,18.55,2.29,0.44,489.85,2,18.65,12.01,1105.0
Beirut,66.61,15.58,3.02,3522.17,2,16.31,1.25,1165.0
Beirut,81.23,22.57,4.38,5183.19,2,12.72,3.56,1183.83
Beirut,87.68,36.06,7.0,9123.23,2,9.32,1.96,1304.0
Beirut,133.29,16.96,3.29,3968.31,0,15.64,17.7,1206.14
Beirut,464.56,219.44,42.57,53981.41,0,19.03,2.61,1268.0
Beirut,738.78,134.63,26.12,31596.67,2,19.19,29.89,1209.77
Beirut,246.41,117.28,22.75,28436.97,3,14.63,1.56,1249.82
Beirut,653.16,188.91,36.65,46695.04,3,16.28,30.86,1274.1
Beirut,244.98,52.31,10.15,12838.97,2,17.32,12.95,1265.1
Beirut,41.58,21.42,4.16,4710.19,2,10.79,22.28,1133.51
Beirut,42.64,21.26,4.13,5379.52,2,8.77,22.25,1304.0
Beirut,197.57,68.17,13.23,15265.41,2,15.4,23.4,1154.2
Beirut,164.62,79.12,15.35,16975.96,2,19.46,21.06,1106.0
Beirut,71.55,4.35,0.84,872.6,0,20.55,70.14,1034.72
Beirut,68.17,14.13,2.74,3235.5,2,17.74,19.75,1180.48
Beirut,126.89,20.4,3.96,4936.99,0,15.36,64.43,1247.49
Beirut,63.39,0.0,0.0,0.0,0,22.96,21.08,
Beirut,152.2,52.0,10.09,13153.64,2,6.85,12.36,1304.0
Beirut,1471.77,609.03,118.15,132675.08,0,16.32,23.23,1122.92
Beirut,314.68,75.2,14.59,16878.62,2,17.54,14.26,1157.0
Beirut,48.12,16.29,3.16,3498.14,2,11.43,11.84,1106.61
Beirut,249.6,55.42,10.75,12525.85,2,18.98,27.48,1165.0
Beirut,142.98,26.36,5.11,5659.01,2,15.17,31.41,1106.54
Beirut,176.55,22.48,4.36,5387.14,2,13.2,24.53,1235.3
Beirut,328.63,133.34,25.87,31929.26,0,13.05,12.5,1234.33
Beirut,171.52,94.47,18.33,20252.35,0,16.24,13.16,1105.0
Beirut,80.39,29.21,5.67,6428.26,2,15.17,28.45,1134.47
Beirut,558.37,193.26,37.49,44599.68,0,16.88,17.73,1189.57
Beirut,69.77,8.72,1.69,2036.19,2,19.93,10.64,1203.78
Beirut,49.64,6.3,1.22,1572.06,3,11.32,19.6,1287.06
Beirut,773.49,211.36,41.0,46387.63,0,16.24,34.34,1131.29
Beirut,67.0,9.77,1.89,2439.56,2,18.34,15.11,1287.43
Beirut,240.34,33.64,6.53,8411.35,0,16.69,18.02,1289.0
Beirut,23.46,5.75,1.12,1456.54,2,5.88,11.48,1304.0
Beirut,397.89,62.19,12.06,14798.38,0,16.55,16.49,1226.62
Beirut,284.68,99.33,19.27,24839.52,3,15.69,18.31,1289.0
Beirut,133.42,52.4,10.15,12312.55,2,19.86,15.22,1213.55
Beirut,129.06,31.28,6.07,7912.77,0,9.1,10.86,1304.0
Beirut,164.93,40.91,7.93,9854.73,2,16.51,21.98,1242.93
Beirut,116.81,29.4,5.7,7438.1,0,6.17,12.16,1304.0
Beirut,103.89,35.7,6.93,8456.12,0,13.19,13.3,1221.06
Beirut,26.28,11.09,2.15,2536.02,0,10.61,14.58,1178.6
Beirut,52.49,4.93,0.96,1233.02,2,17.28,30.79,1289.0
Beirut,46.64,2.69,0.52,673.78,2,19.92,13.24,1289.0
Beirut,69.06,14.55,2.82,3629.25,2,19.68,24.85,1286.0
Beirut,66.41,21.52,4.17,4625.82,2,19.42,2.41,1108.0
Beirut,84.62,35.48,6.88,8975.08,2,6.41,34.04,1304.0
Beirut,77.98,14.63,2.84,3658.54,2,18.22,5.57,1289.0
Beirut,111.95,53.83,10.44,11539.77,2,18.57,5.05,1105.0
Beirut,368.04,114.93,22.3,27643.47,2,11.08,20.07,1239.76
Beirut,196.91,44.9,8.71,10824.65,2,17.52,12.14,1242.67
Beirut,113.51,52.66,10.22,13158.8,2,13.66,17.76,1288.0
Beirut,38.15,8.83,1.71,2176.35,2,16.52,13.4,1272.26
Beirut,130.36,77.26,14.99,19545.07,2,4.07,6.09,1304.0
Beirut,30.32,11.29,2.19,2549.1,2,11.4,15.97,1163.84
Beirut,92.29,17.27,3.35,4102.22,2,19.38,21.15,1224.18
Beirut,154.42,33.82,6.56,8248.93,2,16.94,29.94,1257.25
Beirut,126.93,46.04,8.92,10586.16,2,18.9,27.51,1186.44
Beirut,213.38,76.46,14.83,19102.2,2,11.76,11.79,1287.79
Beirut,85.99,17.46,3.39,3944.42,2,16.41,39.77,1164.65
Beirut,119.12,71.12,13.8,16518.56,3,16.38,11.37,1197.26
Beirut,204.89,96.85,18.79,23867.51,2,17.38,10.24,1270.34
Beirut,73.83,33.1,6.41,8364.08,2,7.3,40.12,1304.0
Beirut,281.32,56.24,10.92,13440.39,0,16.04,14.48,1230.62
Beirut,51.17,14.53,2.82,3624.34,2,19.14,42.09,1286.0
Beirut,37.76,2.79,0.54,661.44,2,19.85,20.19,1219.71
Beirut,150.36,34.81,6.75,8150.29,0,16.32,19.37,1206.9
Beirut,31.76,0.0,0.0,0.0,2,17.29,4.02,
Beirut,89.31,0.0,0.0,0.0,2,19.23,22.52,
Beirut,40.12,9.65,1.87,2176.15,2,18.37,13.23,1162.37
Beirut,71.03,22.46,4.36,5191.05,2,19.22,16.66,1191.62
Beirut,209.17,79.21,15.37,19427.6,0,19.97,9.94,1264.3
Beirut,272.99,50.24,9.75,12547.25,3,18.14,8.49,1287.37
Beirut,27.36,0.0,0.0,0.0,2,18.56,23.39,
Beirut,609.96,194.24,37.68,42775.69,0,18.64,21.5,1135.13
Beirut,338.47,154.36,29.98,35180.25,3,18.63,20.63,1173.6
Beirut,508.6,175.92,34.1,41092.85,2,11.99,17.5,1205.24
Beirut,158.44,47.7,9.25,10780.08,2,18.69,14.89,1165.0
Beirut,137.98,3.56,0.69,805.16,0,17.41,24.51,1165.0
Beirut,206.23,10.87,2.11,2651.91,2,13.36,25.05,1257.5
Beirut,127.97,56.74,11.01,14156.08,2,18.58,17.22,1286.0
Beirut,540.89,90.86,17.63,21855.79,3,16.68,36.62,1239.87
Beirut,59.56,18.7,3.63,4677.25,2,17.18,20.4,1289.0
Beirut,172.08,25.0,4.85,6182.77,2,16.57,10.43,1274.61
Beirut,125.6,26.08,5.06,6322.76,2,18.06,5.2,1249.52
Beirut,203.88,71.12,13.8,16679.48,2,11.66,11.0,1208.88
Beirut,319.36,57.95,11.23,14313.04,0,14.29,14.5,1274.31
Beirut,100.8,25.93,5.03,6181.27,2,17.38,7.59,1228.56
Beirut,1071.16,388.37,75.42,86899.34,0,15.82,21.49,1152.23
Beirut,304.46,10.09,1.96,2397.82,0,14.03,29.54,1224.69
Beirut,222.94,108.34,21.02,26630.76,0,19.3,13.44,1267.05
Beirut,215.78,58.72,11.39,13586.58,2,18.18,43.65,1192.71
Beirut,38.81,0.0,0.0,0.0,2,16.87,10.62,
Beirut,129.39,79.53,15.43,18548.92,2,15.13,11.13,1202.18
Beirut,157.02,21.63,4.2,4739.15,0,10.9,32.48,1129.38
Beirut,92.95,7.63,1.48,1639.39,2,18.11,27.08,1108.0
Beirut,118.2,13.79,2.68,3133.52,2,12.61,24.59,1170.88
Beirut,128.66,36.92,7.15,8244.46,2,19.65,20.54,1152.32
Beirut,161.46,62.91,12.22,15290.28,2,17.86,13.66,1251.55
Beirut,86.62,13.49,2.62,3110.74,0,18.55,23.83,1188.59
Beirut,113.21,50.33,9.76,12731.81,2,6.15,20.66,1304.0
Beirut,49.15,7.84,1.52,1710.72,3,12.73,29.8,1124.15
Beirut,1170.82,235.11,45.61,55077.84,3,15.62,36.07,1207.55
Beirut,547.89,300.79,58.35,69095.14,3,19.64,25.84,1184.07
Beirut,369.75,163.63,31.75,39403.69,2,18.31,18.85,1241.25
Beirut,156.26,35.37,6.86,7777.5,0,14.08,22.37,1133.48
Beirut,57.63,5.81,1.13,1439.82,2,10.57,26.86,1276.7
Beirut,348.66,199.44,38.69,50453.37,0,7.49,18.68,1304.0
Beirut,623.88,161.34,31.33,38193.89,2,15.24,18.24,1219.06
Beirut,432.68,133.15,25.86,31876.1,2,16.7,13.39,1232.79
Beirut,324.62,93.97,18.25,23796.43,2,3.11,4.4,1304.0
Beirut,289.51,101.61,19.71,25703.66,0,6.35,17.48,1304.0
Beirut,128.98,7.0,1.36,1682.18,2,12.11,16.84,1239.0
Beirut,194.63,50.74,9.84,10887.31,2,16.38,13.41,1106.07
Beirut,427.23,135.24,26.26,32035.98,0,15.23,19.71,1219.82
Beirut,43.98,9.62,1.87,2064.46,2,18.05,14.73,1106.69
Beirut,1258.9,146.75,28.47,34343.6,0,11.59,22.64,1206.29
Beirut,130.72,67.44,13.08,17059.62,3,1.89,8.62,1304.0
Beirut,273.76,136.81,26.54,29328.26,0,15.05,16.91,1105.0
Beirut,78.34,17.9,3.47,4295.83,2,19.89,0.77,1236.89
Beirut,76.07,2.34,0.45,557.42,2,16.11,10.2,1228.33
Beirut,129.78,13.83,2.68,3378.66,2,10.1,7.45,1259.3
Beirut,98.2,52.77,10.25,12179.33,2,10.95,6.06,1188.46
Beirut,78.7,21.31,4.13,4581.35,2,12.38,9.08,1108.0
Beirut,134.48,38.76,7.52,9533.57,2,17.53,11.06,1267.9
Beirut,419.17,140.7,27.27,34715.34,0,16.1,29.41,1273.08
Beirut,137.88,14.66,2.85,3603.12,2,18.23,18.14,1265.44
Beirut,67.43,10.84,2.1,2448.92,3,15.31,17.36,1165.0
Beirut,132.54,57.81,11.22,14624.41,3,9.11,8.58,1304.0
Beirut,358.55,135.68,26.32,32103.06,3,16.3,8.75,1219.67
Beirut,402.7,146.07,28.34,33461.27,3,19.67,19.62,1180.8
Beirut,22.06,5.89,1.14,1292.37,3,16.36,0.99,1131.81
Beirut,239.79,115.96,22.5,25476.2,2,19.26,27.76,1132.46
Beirut,565.68,178.87,34.7,43746.29,0,15.92,27.21,1260.65
Beirut,115.92,43.07,8.36,10895.88,2,7.83,12.95,1304.0
Beirut,263.93,77.23,14.98,17455.4,2,15.24,10.14,1165.0
Beirut,138.64,5.74,1.11,1234.54,2,17.13,18.32,1108.0
Beirut,127.73,9.92,1.92,2481.23,3,12.35,12.42,1289.0
Beirut,47.43,2.18,0.42,537.91,2,18.38,12.42,1272.92
Beirut,313.65,115.41,22.43,27075.21,0,14.17,10.84,1206.85
Beirut,33.24,0.0,0.0,0.0,2,18.91,9.72,
Beirut,27.47,0.0,0.0,0.0,2,18.63,16.05,
Beirut,164.84,42.32,8.21,10566.22,0,18.41,10.13,1287.05
Beirut,53.53,16.76,3.25,3787.74,2,19.64,19.58,1164.81
Beirut,107.98,44.72,8.67,9585.62,2,15.74,10.94,1105.0
Beirut,331.76,177.1,34.36,43804.76,2,11.91,10.87,1274.95
Beirut,166.21,27.88,5.41,6795.14,2,16.53,18.34,1256.3
Beirut,16.18,3.22,0.62,814.89,2,4.86,20.68,1304.0
Beirut,35.4,13.87,2.69,3509.56,2,9.1,20.0,1304.0
Beirut,239.45,61.13,11.87,15479.37,2,9.97,17.66,1304.0
Beirut,166.06,41.21,7.99,10104.32,2,15.29,17.07,1265.24
Beirut,117.04,28.78,5.58,6722.73,0,12.69,19.75,1204.25
Beirut,242.09,23.36,4.53,5781.86,0,15.64,25.38,1275.62
Beirut,87.63,0.0,0.0,0.0,2,21.98,29.7,
Beirut,294.59,130.59,25.33,28728.19,2,17.71,13.54,1133.99
Beirut,268.28,81.09,15.73,20230.73,0,16.37,13.12,1286.0
Beirut,88.92,41.59,8.07,9647.61,2,19.67,6.8,1195.64
Beirut,1295.16,246.15,47.75,56010.25,2,11.0,33.83,1172.91
Beirut,280.63,87.19,16.92,18742.18,2,12.95,9.73,1108.0
Beirut,72.84,27.27,5.29,6012.0,2,17.04,37.6,1136.43
Beirut,233.05,46.96,9.11,10645.09,2,17.39,9.4,1168.35
Beirut,58.12,6.75,1.31,1575.33,2,20.02,37.83,1203.0
Beirut,168.19,37.32,7.24,8000.75,2,16.17,21.18,1105.0
Beirut,176.72,47.44,9.2,11589.4,2,19.31,6.42,1259.15
Beirut,208.88,11.1,2.15,2744.78,2,19.82,35.43,1274.4
Beirut,119.16,58.66,11.38,14840.08,2,5.94,12.94,1304.0
Beirut,170.78,18.26,3.54,4187.92,2,12.03,41.52,1183.08
Beirut,278.19,94.46,18.31,22327.67,2,17.98,14.38,1219.61
Beirut,179.84,20.48,3.97,5076.1,3,19.94,28.22,1277.59
Beirut,131.39,49.85,9.67,11394.37,0,15.82,23.47,1178.27
Beirut,146.49,49.82,9.66,12273.76,3,13.19,6.44,1269.97
Beirut,481.36,91.07,17.67,22476.67,0,15.78,20.2,1272.15
Beirut,162.17,69.42,13.48,17580.04,2,7.02,2.67,1304.0
Beirut,391.27,84.89,16.47,20898.1,0,17.96,14.28,1268.97
Beirut,30.07,0.0,0.0,0.0,2,11.39,6.59,
Beirut,474.35,185.1,35.91,39739.98,0,15.92,26.4,1106.66
Beirut,460.72,54.56,10.58,13336.41,0,19.94,21.41,1260.0
Beirut,447.11,65.05,12.63,15702.38,2,18.39,14.51,1243.09
Beirut,16.73,1.9,0.37,414.62,0,13.03,6.35,1124.98
Beirut,31.06,7.85,1.52,1988.36,0,4.97,6.86,1304.0
Beirut,136.21,29.83,5.79,7547.17,2,8.03,17.75,1304.0
Beirut,105.59,13.65,2.65,3368.56,2,15.76,7.35,1271.95
Beirut,222.92,36.72,7.12,8527.46,2,16.54,7.38,1197.12
Beirut,268.73,59.08,11.46,13869.14,2,13.71,33.39,1210.06
Beirut,160.74,41.26,8.0,9634.7,2,12.58,11.11,1203.78
Beirut,100.25,35.8,6.95,8618.26,2,17.18,10.22,1240.92
Beirut,37.51,3.13,0.61,708.41,2,19.8,7.87,1168.27
Beirut,192.87,83.84,16.27,18978.19,2,10.09,9.29,1166.8
Beirut,82.3,8.9,1.73,2224.92,2,12.31,9.21,1289.0
Beirut,42.01,19.83,3.85,5017.04,2,7.22,4.18,1304.0
Beirut,69.57,21.96,4.26,4915.51,2,17.42,13.02,1154.0
Beirut,168.94,17.39,3.37,3931.44,2,17.39,9.61,1165.0
Beirut,296.57,133.46,25.89,32332.49,2,16.02,9.11,1248.77
Beirut,43.79,21.03,4.08,5320.74,2,7.42,4.46,1304.0
Beirut,273.89,54.41,10.56,11795.84,2,12.65,18.52,1117.5
Beirut,45.06,22.72,4.41,5747.14,2,5.94,0.6,1304.0
Beirut,140.1,20.57,3.99,4416.86,2,17.64,31.06,1106.83
Beirut,157.1,53.88,10.45,13152.74,2,15.09,18.97,1258.3
Beirut,290.36,108.66,21.08,24128.01,2,18.02,19.26,1144.59
Beirut,252.93,63.0,12.22,15557.09,3,11.69,6.28,1272.85
Beirut,46.1,4.7,0.91,1130.35,2,15.46,25.42,1239.0
Beirut,13.74,0.0,0.0,0.0,2,13.32,10.96,
Beirut,390.11,102.04,19.8,25074.37,0,16.7,30.79,1266.6
Beirut,244.47,17.18,3.34,4106.83,3,16.52,9.03,1230.95
Beirut,239.35,55.9,10.84,13979.09,0,16.68,24.57,1289.0
Beirut,259.89,79.5,15.42,17072.01,2,19.55,32.53,1106.87
Beirut,77.54,15.51,3.01,3332.97,2,18.73,30.97,1108.0
Beirut,296.53,185.99,36.12,44369.73,2,16.93,14.53,1228.45
Beirut,81.05,29.29,5.68,6420.21,3,12.46,8.27,1130.02
Beirut,38.18,8.46,1.64,2140.99,2,6.95,17.07,1304.0
Beirut,146.33,44.31,8.6,11209.36,3,7.55,14.93,1304.0
Beirut,392.84,244.75,47.48,61915.0,2,6.56,12.68,1304.0
Beirut,25.35,3.49,0.68,789.82,3,18.31,11.46,1166.16
Beirut,198.88,70.21,13.61,16324.86,2,14.01,19.46,1199.76
Beirut,65.5,23.59,4.58,5065.33,2,15.24,19.18,1106.87
Beirut,21.85,10.12,1.97,2563.24,2,7.15,17.51,1304.0
Beirut,593.29,296.98,57.67,70908.32,3,12.37,1.49,1229.51
Beirut,79.49,33.68,6.53,7640.47,2,19.34,16.0,1169.5
Beirut,66.47,26.04,5.05,5868.61,0,17.9,14.06,1161.59
Beirut,61.31,11.27,2.19,2422.86,2,18.58,15.55,1108.0
Beirut,14.86,5.73,1.11,1449.5,2,7.36,12.33,1304.0
Beirut,175.84,64.46,12.49,16290.61,0,5.67,8.29,1304.0
Beirut,316.63,64.06,12.43,15087.22,2,16.59,20.93,1214.09
Beirut,159.16,30.48,5.92,7545.65,2,18.51,19.71,1274.86
Beirut,241.42,111.71,21.67,26443.07,2,17.38,17.86,1220.12
Beirut,421.72,161.62,31.35,38454.19,2,15.03,25.89,1226.44
Beirut,205.19,83.6,16.22,18668.64,2,19.04,17.78,1151.1
Beirut,354.96,217.65,42.22,55059.8,0,5.07,13.53,1304.0
Beirut,26.97,0.0,0.0,0.0,3,24.82,8.78,
Beirut,78.16,5.77,1.12,1333.54,2,17.04,2.65,1190.6
Beirut,382.5,42.79,8.3,10285.16,0,15.52,22.2,1239.0
Beirut,134.61,34.54,6.7,8418.57,2,16.58,36.28,1256.25
Beirut,28.17,0.0,0.0,0.0,2,13.36,6.56,
Beirut,347.6,23.27,4.51,5444.93,0,16.27,16.06,1206.29
Beirut,205.18,37.0,7.18,9161.54,0,17.65,24.28,1276.27
Beirut,86.43,37.96,7.36,8809.54,2,14.56,9.26,1196.41
Beirut,116.6,51.81,10.05,11259.03,2,16.0,7.3,1120.07
Beirut,221.23,59.21,11.47,13760.07,2,18.44,29.75,1199.2
Beirut,80.37,21.86,4.24,4686.02,2,15.48,11.0,1105.0
Beirut,477.61,68.42,13.29,16897.09,0,10.58,20.69,1271.63
Beirut,184.16,7.86,1.53,1931.4,2,19.17,15.89,1266.0
Beirut,232.25,48.81,9.47,10635.21,2,16.9,37.64,1123.13
Beirut,402.27,118.03,22.9,27867.33,0,16.31,19.29,1217.06
Beirut,269.28,86.2,16.72,21172.76,2,19.26,21.0,1266.13
Beirut,362.68,194.95,37.82,48704.91,3,18.46,14.86,1287.82
Beirut,127.06,25.29,4.91,6239.9,3,19.36,9.21,1271.95
Beirut,210.36,67.17,13.03,14420.75,3,16.36,6.22,1106.58
Beirut,407.32,77.17,14.97,17036.79,2,13.6,43.88,1138.06
Beirut,74.32,19.6,3.8,4814.07,2,17.7,15.17,1266.28
Beirut,92.57,30.86,5.99,7574.26,3,18.66,5.86,1265.27
Beirut,92.27,37.09,7.2,9261.3,3,16.65,19.93,1287.19
Beirut,27.91,6.86,1.33,1734.18,3,6.93,8.68,1304.0
Beirut,179.92,26.35,5.11,6458.53,2,17.66,21.37,1264.47
Beirut,112.19,43.02,8.35,10553.55,3,19.46,16.33,1264.62
Beirut,131.01,47.46,9.21,11406.91,3,18.38,1.76,1239.0
Beirut,41.01,6.56,1.27,1406.8,3,17.87,20.25,1105.0
Beirut,39.02,8.88,1.72,1994.51,3,17.94,16.53,1158.0
Beirut,499.0,197.05,38.19,46249.89,2,14.46,39.29,1211.07
Beirut,132.63,58.77,11.4,12610.6,3,19.37,16.75,1106.13
Beirut,633.42,467.53,90.7,110383.32,2,16.3,24.41,1217.0
Beirut,164.17,34.24,6.65,8371.73,0,16.12,12.73,1259.08
Beirut,828.81,324.94,62.98,74773.29,0,15.97,35.7,1187.33
Beirut,29.02,0.0,0.0,0.0,2,17.71,7.97,
Beirut,196.82,92.8,18.02,21608.84,0,12.7,7.1,1199.02
Beirut,274.88,82.86,16.08,19660.91,2,12.88,35.61,1223.02
Beirut,232.96,112.01,21.73,26770.34,0,18.09,7.59,1232.0
Beirut,311.98,105.99,20.56,23412.98,0,10.75,8.54,1138.66
Beirut,159.08,30.75,5.97,6609.84,2,18.29,10.49,1108.0
Beirut,197.99,69.88,13.56,15021.39,2,14.71,13.65,1108.0
Beirut,168.34,74.01,14.36,18722.01,2,8.13,23.52,1304.0
Beirut,196.53,36.73,7.13,8556.7,0,19.85,10.22,1200.93
Beirut,303.49,47.14,9.15,11012.26,0,19.93,28.63,1204.17
Beirut,107.21,65.19,12.65,15141.3,2,13.97,10.6,1197.28
Beirut,112.06,54.17,10.5,12404.56,0,18.8,9.33,1181.5
Beirut,66.83,19.19,3.72,4199.95,2,16.92,10.97,1128.21
Beirut,548.73,202.68,39.32,47885.44,2,15.71,10.47,1217.85
Beirut,20.02,5.87,1.14,1485.0,0,7.25,9.12,1304.0
Beirut,27.28,8.92,1.73,2256.51,2,7.71,6.11,1304.0
Beirut,81.35,29.14,5.65,6253.45,2,18.4,11.84,1106.13
Beirut,89.86,36.45,7.07,9222.0,2,2.86,9.88,1304.0
